中文名,标准缩写,去掉空格的缩写,全名,全名，把逗号换成了空格,专长类群,工作单位,姓,名
【空】,Beusekom,Beusekom,"Beusekom, C. F. van",Beusekom C. F. van,S,,Beusekom,C. F. van
【空】,Beyr.,Beyr.,"Beyrich, Heinrich Karl",Beyrich Heinrich Karl,BMS,,Beyrich,Heinrich Karl
【空】,Bge.,Bge.,,,,,,
【空】,Bhatti,Bhatti,,,,,,
【空】,Bigelow,Bigelow,"Bigelow, Jacob",Bigelow Jacob,S,,Bigelow,Jacob
【空】,Bijh.,Bijh.,"Bijhouwer, Jan Tijs Pieter",Bijhouwer Jan Tijs Pieter,S,,Bijhouwer,Jan Tijs Pieter
【空】,Binn.,Binn.,"Binnendijk, Simon",Binnendijk Simon,PS,,Binnendijk,Simon
【空】,Birdsey,Birdsey,"Birdsey, Monroe Roberts",Birdsey Monroe Roberts,S,,Birdsey,Monroe Roberts
【空】,Biswas,Biswas,"Biswas, Kalipada P.",Biswas Kalipada P.,APS,,Biswas,Kalipada P.
【空】,Bitter,Bitter,"Bitter, Friedrich August Georg",Bitter Friedrich August Georg,MPS,,Bitter,Friedrich August Georg
【空】,Bl.,Bl.,,,,,,
【空】,Davazamc,Davazamc,"Davazamc, S.",Davazamc S.,S,,Davazamc,S.
【空】,Stern,Stern,"Stern, Frederick Claude",Stern Frederick Claude,S,,Stern,Frederick Claude
【空】,C. A. Clark,C.A.Clark,"Clark, Carolyn A.",Clark Carolyn A.,S,,Clark,Carolyn A.
【空】,Tamura,Tamura,"Tamura, Michio",Tamura Michio,MS,TNM,Tamura,Michio
【空】,Franken,Franken,"Franken, N. A. P.",Franken N. A. P.,S,,Franken,N. A. P.
【空】,Grove,Grove,,,,,,
【空】,C. Wimm.,C.Wimm.,"Wimmer, Christian Friedrich Heinrich",Wimmer Christian Friedrich Heinrich,MPS,,Wimmer,Christian Friedrich Heinrich
【空】,Herr.,Herr.,,,,,,
【空】,Heyn,Heyn,"Heyn, Chaia Clara",Heyn Chaia Clara,S,,Heyn,Chaia Clara
【空】,Dietrich,Dietrich,,,,,,
【空】,Henders.,Henders.,,,,,,
【空】,Dallimore,Dallimore,,,,,,
【空】,C. Y. Chen,C.Y.Chen,"Chen, C. Y.",Chen C. Y.,S,,Chen,C. Y.
【空】,Bern.,Bern.,,,S,,,
【空】,Moens,Moens,,,S,,,
【空】,Jia Rong Xue,JiaRongXue,"Xue, Jia Rong",Xue Jia Rong,S,,Xue,Jia Rong
【空】,S. S. Hooper,S.S.Hooper,"Hooper, Sheila Spenser",Hooper Sheila Spenser,S,,Hooper,Sheila Spenser
【空】,Karth.,Karth.,"Karthikeyan, Satavanam",Karthikeyan Satavanam,S,,Karthikeyan,Satavanam
【空】,Hemadri,Hemadri,"Hemadri, Koppula",Hemadri Koppula,S,,Hemadri,Koppula
【空】,Welzen,Welzen,"Welzen, P. C. van",Welzen P. C. van,S,,Welzen,P. C. van
【空】,C. H. An,C.H.An,"An, Zhang Xi",An Zhang Xi,"新疆十字花科,菊科",XJA,An,Zhang Xi
【空】,Rottb.,Rottb.,"Rottboell, Christen Friis",Rottboell Christen Friis,S,,Rottboell,Christen Friis
【空】,Rottler,Rottler,"Rottler, Johan Peter",Rottler Johan Peter,S,,Rottler,Johan Peter
【空】,Rousi,Rousi,"Rousi, Arne Henrik",Rousi Arne Henrik,S,,Rousi,Arne Henrik
【空】,Rouy,Rouy,"Rouy, Georges C. Chr",Rouy Georges C. Chr,PS,,Rouy,Georges C. Chr
【空】,Roxb.,Roxb.,"Roxburgh, William",Roxburgh William,PS,,Roxburgh,William
【空】,Roxb. f.,Roxb.f.,"Roxbough, f.",Roxbough f.,,,Roxbough,f.
【空】,Roy L. Taylor,RoyL.Taylor,,,,,,
【空】,Royle,Royle,"Royle, John Forbes",Royle John Forbes,FS,,Royle,John Forbes
【空】,N. I. Rubtzov,N.I.Rubtzov,"Rubtzov, Nicolaj Ivanovich",Rubtzov Nicolaj Ivanovich,S,,Rubtzov,Nicolaj Ivanovich
【空】,Rudolphi,Rudolphi,"Rudolphi, (Israel) Karl Asmund (Carl Asmunt (Asmus))",Rudolphi (Israel) Karl Asmund (Carl Asmunt (Asmus)),MS,,Rudolphi,(Israel) Karl Asmund (Carl Asmunt (Asmus))
【空】,Ruhland,Ruhland,"Ruhland, Wilhelm (Willy) Otto Eugen",Ruhland Wilhelm (Willy) Otto Eugen,MS,,Ruhland,Wilhelm (Willy) Otto Eugen
